INFO:root:Directory output/GC7M created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][1850/7615]	Loss_D: 0.8462	Loss_G: 4.6419	D(x): 0.7566	D(G(z)): 0.3261 / 0.0207	Time: 62.37s
INFO:root:[0/1000][1900/7615]	Loss_D: 0.3660	Loss_G: 3.3546	D(x): 0.8513	D(G(z)): 0.1404 / 0.0540	Time: 61.17s
INFO:root:[0/1000][1950/7615]	Loss_D: 0.6376	Loss_G: 7.0335	D(x): 0.9166	D(G(z)): 0.3748 / 0.0016	Time: 60.93s
INFO:root:[0/1000][2000/7615]	Loss_D: 0.3374	Loss_G: 3.3337	D(x): 0.7879	D(G(z)): 0.0610 / 0.0591	Time: 60.01s
INFO:root:[0/1000][2050/7615]	Loss_D: 0.8082	Loss_G: 4.2561	D(x): 0.8019	D(G(z)): 0.3765 / 0.0271	Time: 61.66s
INFO:root:[0/1000][2100/7615]	Loss_D: 0.5088	Loss_G: 3.5964	D(x): 0.8437	D(G(z)): 0.2465 / 0.0429	Time: 61.90s
INFO:root:[0/1000][2150/7615]	Loss_D: 0.4043	Loss_G: 4.0886	D(x): 0.7514	D(G(z)): 0.0280 / 0.0249	Time: 59.94s
INFO:root:[0/1000][2200/7615]	Loss_D: 0.4044	Loss_G: 2.9571	D(x): 0.7785	D(G(z)): 0.0677 / 0.0723	Time: 63.51s
INFO:root:[0/1000][2250/7615]	Loss_D: 0.3484	Loss_G: 4.0535	D(x): 0.8517	D(G(z)): 0.1424 / 0.0288	Time: 61.11s
INFO:root:[0/1000][2300/7615]	Loss_D: 0.5040	Loss_G: 4.3903	D(x): 0.8017	D(G(z)): 0.1807 / 0.0181	Time: 60.44s
INFO:root:[0/1000][2350/7615]	Loss_D: 0.9417	Loss_G: 1.2222	D(x): 0.4993	D(G(z)): 0.0154 / 0.3511	Time: 60.22s
INFO:root:[0/1000][2400/7615]	Loss_D: 0.5591	Loss_G: 2.6474	D(x): 0.6962	D(G(z)): 0.0952 / 0.1078	Time: 63.81s
INFO:root:[0/1000][2450/7615]	Loss_D: 0.3356	Loss_G: 5.4436	D(x): 0.9282	D(G(z)): 0.2051 / 0.0070	Time: 61.14s
INFO:root:[0/1000][2500/7615]	Loss_D: 0.3141	Loss_G: 3.8299	D(x): 0.9371	D(G(z)): 0.1905 / 0.0394	Time: 59.25s
INFO:root:[0/1000][2550/7615]	Loss_D: 0.6345	Loss_G: 5.8299	D(x): 0.9493	D(G(z)): 0.3890 / 0.0057	Time: 59.88s
INFO:root:[0/1000][2600/7615]	Loss_D: 0.2544	Loss_G: 4.4920	D(x): 0.9178	D(G(z)): 0.1343 / 0.0174	Time: 61.48s
INFO:root:[0/1000][2650/7615]	Loss_D: 0.3014	Loss_G: 4.9109	D(x): 0.9144	D(G(z)): 0.1591 / 0.0129	Time: 61.57s
INFO:root:[0/1000][2700/7615]	Loss_D: 0.4147	Loss_G: 4.4791	D(x): 0.9036	D(G(z)): 0.2363 / 0.0168	Time: 60.61s
