INFO:root:Directory output/3CK2 created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][1850/7615]	Loss_D: 0.0000	Loss_G: 40.8105	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
INFO:root:[0/1000][1900/7615]	Loss_D: 0.0000	Loss_G: 40.7895	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.44s
INFO:root:[0/1000][1950/7615]	Loss_D: 0.0000	Loss_G: 40.5803	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.42s
INFO:root:[0/1000][2000/7615]	Loss_D: 0.0000	Loss_G: 40.4479	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.49s
INFO:root:[0/1000][2050/7615]	Loss_D: 0.0000	Loss_G: 40.2939	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.48s
INFO:root:[0/1000][2100/7615]	Loss_D: 0.0000	Loss_G: 40.1805	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.51s
INFO:root:[0/1000][2150/7615]	Loss_D: 0.0000	Loss_G: 39.9692	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.52s
INFO:root:[0/1000][2200/7615]	Loss_D: 0.0000	Loss_G: 39.6988	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.52s
INFO:root:[0/1000][2250/7615]	Loss_D: 0.0000	Loss_G: 39.1812	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.63s
INFO:root:[0/1000][2300/7615]	Loss_D: 0.0000	Loss_G: 38.2228	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.45s
INFO:root:[0/1000][2350/7615]	Loss_D: 0.0000	Loss_G: 41.5993	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.52s
INFO:root:[0/1000][2400/7615]	Loss_D: 0.0000	Loss_G: 41.5565	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.35s
INFO:root:[0/1000][2450/7615]	Loss_D: 0.0000	Loss_G: 41.4810	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.33s
INFO:root:[0/1000][2500/7615]	Loss_D: 0.0000	Loss_G: 41.4590	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.40s
INFO:root:[0/1000][2550/7615]	Loss_D: 0.0000	Loss_G: 41.3599	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.53s
INFO:root:[0/1000][2600/7615]	Loss_D: 0.0000	Loss_G: 41.2008	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.46s
INFO:root:[0/1000][2650/7615]	Loss_D: 0.0000	Loss_G: 41.2326	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.39s
INFO:root:[0/1000][2700/7615]	Loss_D: 0.0000	Loss_G: 41.2195	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.33s
INFO:root:[0/1000][2750/7615]	Loss_D: 0.0000	Loss_G: 40.9496	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.46s
INFO:root:[0/1000][2800/7615]	Loss_D: 0.0000	Loss_G: 40.6322	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.35s
INFO:root:[0/1000][2850/7615]	Loss_D: 0.0000	Loss_G: 40.3686	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.33s
INFO:root:[0/1000][2900/7615]	Loss_D: 0.0000	Loss_G: 39.5621	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000	Time: 75.37s
INFO:root:[0/1000][2950/7615]	Loss_D: 1.1368	Loss_G: 46.3284	D(x): 0.9992	D(G(z)): 0.3940 / 0.0000	Time: 75.38s
INFO:root:[0/1000][3000/7615]	Loss_D: 1.7160	Loss_G: 5.3586	D(x): 0.7771	D(G(z)): 0.6517 / 0.0052	Time: 75.45s
INFO:root:[0/1000][3050/7615]	Loss_D: 0.6087	Loss_G: 3.7424	D(x): 0.6917	D(G(z)): 0.0329 / 0.0584	Time: 75.44s
INFO:root:[0/1000][3100/7615]	Loss_D: 1.2302	Loss_G: 4.2487	D(x): 0.7914	D(G(z)): 0.5543 / 0.0264	Time: 75.43s
INFO:root:[0/1000][3150/7615]	Loss_D: 0.7996	Loss_G: 6.1652	D(x): 0.8940	D(G(z)): 0.4650 / 0.0039	Time: 75.90s
INFO:root:[0/1000][3200/7615]	Loss_D: 0.6285	Loss_G: 2.1500	D(x): 0.7188	D(G(z)): 0.1326 / 0.1751	Time: 75.49s
INFO:root:[0/1000][3250/7615]	Loss_D: 0.6963	Loss_G: 4.1907	D(x): 0.8448	D(G(z)): 0.3433 / 0.0230	Time: 75.33s
INFO:root:[0/1000][3300/7615]	Loss_D: 1.0343	Loss_G: 2.0685	D(x): 0.4584	D(G(z)): 0.1032 / 0.1592	Time: 75.35s
INFO:root:[0/1000][3350/7615]	Loss_D: 0.6042	Loss_G: 4.0057	D(x): 0.8340	D(G(z)): 0.3113 / 0.0225	Time: 75.33s
INFO:root:[0/1000][3400/7615]	Loss_D: 0.7313	Loss_G: 2.2612	D(x): 0.7554	D(G(z)): 0.2851 / 0.1371	Time: 75.32s
INFO:root:[0/1000][3450/7615]	Loss_D: 0.7295	Loss_G: 3.8879	D(x): 0.8119	D(G(z)): 0.3591 / 0.0301	Time: 75.36s
INFO:root:[0/1000][3500/7615]	Loss_D: 0.6206	Loss_G: 3.8819	D(x): 0.7923	D(G(z)): 0.2461 / 0.0285	Time: 75.35s
INFO:root:[0/1000][3550/7615]	Loss_D: 0.9303	Loss_G: 3.1687	D(x): 0.4707	D(G(z)): 0.0178 / 0.0788	Time: 75.40s
INFO:root:[0/1000][3600/7615]	Loss_D: 1.4693	Loss_G: 3.1802	D(x): 0.8999	D(G(z)): 0.6615 / 0.0734	Time: 75.41s
INFO:root:[0/1000][3650/7615]	Loss_D: 0.9293	Loss_G: 2.4263	D(x): 0.5284	D(G(z)): 0.0845 / 0.1158	Time: 75.47s
INFO:root:[0/1000][3700/7615]	Loss_D: 0.6826	Loss_G: 3.0229	D(x): 0.8191	D(G(z)): 0.3186 / 0.0767	Time: 75.40s
INFO:root:[0/1000][3750/7615]	Loss_D: 0.9949	Loss_G: 1.8663	D(x): 0.6151	D(G(z)): 0.2786 / 0.2138	Time: 75.40s
INFO:root:[0/1000][3800/7615]	Loss_D: 1.6994	Loss_G: 1.8543	D(x): 0.2747	D(G(z)): 0.0389 / 0.2080	Time: 75.33s
INFO:root:[0/1000][3850/7615]	Loss_D: 0.9649	Loss_G: 1.9278	D(x): 0.5319	D(G(z)): 0.1307 / 0.1949	Time: 75.55s
INFO:root:[0/1000][3900/7615]	Loss_D: 1.2203	Loss_G: 1.8675	D(x): 0.5888	D(G(z)): 0.3936 / 0.1919	Time: 75.42s
INFO:root:[0/1000][3950/7615]	Loss_D: 0.9362	Loss_G: 2.2986	D(x): 0.5475	D(G(z)): 0.1230 / 0.1446	Time: 75.65s
INFO:root:[0/1000][4000/7615]	Loss_D: 0.7838	Loss_G: 3.0292	D(x): 0.6719	D(G(z)): 0.2177 / 0.0718	Time: 76.07s
INFO:root:[0/1000][4050/7615]	Loss_D: 0.5375	Loss_G: 3.4379	D(x): 0.8013	D(G(z)): 0.2156 / 0.0549	Time: 75.65s
INFO:root:[0/1000][4100/7615]	Loss_D: 0.8400	Loss_G: 2.4486	D(x): 0.7225	D(G(z)): 0.3305 / 0.1182	Time: 75.36s
INFO:root:[0/1000][4150/7615]	Loss_D: 0.7478	Loss_G: 2.6863	D(x): 0.7229	D(G(z)): 0.2730 / 0.0959	Time: 75.42s
INFO:root:[0/1000][4200/7615]	Loss_D: 0.7653	Loss_G: 1.5509	D(x): 0.5968	D(G(z)): 0.1230 / 0.2651	Time: 75.44s
INFO:root:[0/1000][4250/7615]	Loss_D: 0.9575	Loss_G: 5.1467	D(x): 0.8691	D(G(z)): 0.4679 / 0.0149	Time: 75.50s
INFO:root:[0/1000][4300/7615]	Loss_D: 0.6125	Loss_G: 3.2344	D(x): 0.7597	D(G(z)): 0.2031 / 0.0598	Time: 75.44s
INFO:root:[0/1000][4350/7615]	Loss_D: 0.5592	Loss_G: 4.0040	D(x): 0.8302	D(G(z)): 0.2758 / 0.0272	Time: 75.50s
INFO:root:[0/1000][4400/7615]	Loss_D: 0.8120	Loss_G: 4.9314	D(x): 0.9432	D(G(z)): 0.4761 / 0.0113	Time: 75.40s
INFO:root:[0/1000][4450/7615]	Loss_D: 0.5726	Loss_G: 3.0409	D(x): 0.7378	D(G(z)): 0.1749 / 0.0780	Time: 75.44s
INFO:root:[0/1000][4500/7615]	Loss_D: 0.6464	Loss_G: 2.3471	D(x): 0.6869	D(G(z)): 0.1381 / 0.1258	Time: 75.53s
INFO:root:[0/1000][4550/7615]	Loss_D: 0.5811	Loss_G: 1.7126	D(x): 0.6349	D(G(z)): 0.0430 / 0.2351	Time: 75.42s
INFO:root:[0/1000][4600/7615]	Loss_D: 0.6033	Loss_G: 2.1821	D(x): 0.6922	D(G(z)): 0.1473 / 0.1738	Time: 75.54s
INFO:root:[0/1000][4650/7615]	Loss_D: 0.4709	Loss_G: 2.2189	D(x): 0.7456	D(G(z)): 0.1143 / 0.1584	Time: 75.39s
INFO:root:[0/1000][4700/7615]	Loss_D: 0.6173	Loss_G: 2.7394	D(x): 0.7580	D(G(z)): 0.2294 / 0.0905	Time: 75.99s
INFO:root:[0/1000][4750/7615]	Loss_D: 0.7553	Loss_G: 1.6551	D(x): 0.5995	D(G(z)): 0.1010 / 0.2492	Time: 75.93s
INFO:root:[0/1000][4800/7615]	Loss_D: 0.6623	Loss_G: 2.8264	D(x): 0.7131	D(G(z)): 0.2092 / 0.0880	Time: 76.03s
INFO:root:[0/1000][4850/7615]	Loss_D: 0.4762	Loss_G: 3.5593	D(x): 0.8591	D(G(z)): 0.2467 / 0.0403	Time: 75.65s
INFO:root:[0/1000][4900/7615]	Loss_D: 0.4203	Loss_G: 4.1409	D(x): 0.8416	D(G(z)): 0.1796 / 0.0297	Time: 75.38s
